URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH,Cluster,Predicted_Type,Anomaly
Netclan20241057,https://insights.blackcoffer.com/recommendation-engine-for-insurance-sector-to-expand-business-in-the-rural-area/,18,3,0.7142856802721105,0.05263157881545971,20.9999988947369,0.2857142849982098,8.514285271894044,20.9999988947369,114,399,2.097744355644751,4,7.255639079559802,0,News,Normal
Netclan20241058,https://insights.blackcoffer.com/data-from-crm-via-zapier-to-google-sheets-dynamic-to-powerbi/,17,2,0.7894736426592819,0.08225108189501697,12.15789409695294,0.2034632025824104,4.944542919814142,12.15789409695294,47,231,1.839826831862222,8,6.683982655047695,0,News,Normal
Netclan20241059,https://insights.blackcoffer.com/data-warehouse-to-google-data-studio-looker-dashboard/,11,1,0.8333332638888947,0.04819277089079208,13.10526246814408,0.1927710835631683,5.3192134206829,13.10526246814408,48,249,1.88755019322269,13,6.987951779164852,0,News,Normal
Netclan20241060,https://insights.blackcoffer.com/crm-monday-com-via-zapier-to-power-bi-dashboard/,14,3,0.6470587854671302,0.07172995750324912,9.115384264792912,0.1772151891256743,3.717039781567435,9.115384264792912,42,237,1.759493663462052,16,6.514767905000979,0,News,Normal
Netclan20241061,https://insights.blackcoffer.com/monday-com-to-kpi-dashboard-to-manage-view-and-generate-insights-from-the-crm-data/,18,6,0.4999999791666675,0.09195402263619148,8.999999689655183,0.245210727029844,3.698084166674011,8.999999689655183,64,261,1.865900375992719,6,6.620689629805787,0,News,Normal
Netclan20241062,https://insights.blackcoffer.com/data-management-for-a-political-saas-application/,25,8,0.5151514995408637,0.05092592584733653,10.45161273465141,0.2469135798658741,4.279410525806912,10.45161273465141,160,648,1.925925922953818,9,6.891975298006211,1,Blog,Normal
Netclan20241063,https://insights.blackcoffer.com/google-lsa-ads-google-local-service-ads-etl-tools-and-dashboards/,12,6,0.3333333148148158,0.0555555553840878,17.99999900000006,0.1820987648700655,7.272839105948049,17.99999900000006,59,324,1.848765426392699,1,6.867283929421963,0,News,Normal
Netclan20241064,https://insights.blackcoffer.com/ad-networks-marketing-campaign-data-dashboard-in-looker-google-data-studio/,18,6,0.4999999791666675,0.05240174661047654,41.63635985124002,0.196506549789287,16.73314656041172,41.63635985124002,90,458,1.890829690194695,1,6.980349329737229,0,News,Normal
Netclan20241065,https://insights.blackcoffer.com/analytical-solution-for-a-tech-firm/,13,12,0.03999999840000006,0.1033057846970835,26.8888859012349,0.2024793380062837,10.83654609569648,26.8888859012349,49,242,1.966942140632471,2,7.024793359401681,0,News,Normal
Netclan20241066,https://insights.blackcoffer.com/ai-solution-for-a-technology-information-and-internet-firm/,10,2,0.6666666111111158,0.05128205106289722,33.42856665306191,0.2008546999963474,13.4517685412233,33.42856665306191,47,234,1.880341872306231,1,7.017093987106436,0,News,Normal
